uwAmendmentList,uwAmendmentList.AmendmentID,uwAmendmentList.AmendmentNo,uwAmendmentList.AmendmentType,uwAmendmentList.AmendmentKey,uwAmendmentList.BranchID,uwAmendmentList.CoverType,uwAmendmentList.IssueDate
Valency.Models.Console.UnderWriting.uwAmendmentList,7e4aca62-e9bc-4187-8d8c-5aa62ba0a44f,0,ADDITION,02/A/01/00094/12/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"27/12/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,2a374db6-85b4-4dbd-9b3e-3693b474b832,0,GENERAL,02/A/01/00095/12/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"27/12/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,4a745270-6466-441e-b4a4-a3c865a7bd32,0,GENERAL,02/A/01/00096/12/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"27/12/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,9852cbc2-ea8a-4a38-9389-6bacb10c3e93,0,ADDITION,02/A/01/00093/12/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"26/12/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,482e7bc5-1e08-46bc-a3b6-262d6ec6264b,0,REFUND,01/A/01/00046/12/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","30/12/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,5f6f3d5e-b6d1-4b38-b009-1628423706cc,0,GENERAL,01/A/01/00045/12/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","18/12/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,118fbc8b-dc6e-4836-9115-fdf584e482ef,0,REFUND,01/A/01/00047/12/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","30/12/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,12ac9ba9-c660-4283-982e-55f914f7909c,0,GENERAL,03/A/01/00089/12/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"30/12/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,fd8c0c90-f0de-4c25-86f7-9d434890c415,0,ADDITION,06/A/01/00004/05/23,2e3d53a0-959d-493a-b91b-7273fe2bcb5a,Import,"09/05/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,d211a1bd-19ba-4df5-a976-241d01d82b5e,0,REFUND,06/A/01/00006/12/23,2e3d53a0-959d-493a-b91b-7273fe2bcb5a,Import,"27/12/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,f53c4567-2dde-4ff7-855a-55903f139e09,0,ADDITION,03/A/01/00020/03/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"14/03/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,ce86a5b6-f709-4b1a-8ce8-e37a2876c5cb,0,GENERAL,03/A/01/00077/09/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"14/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,a8a58406-482e-40ab-9a55-27bab004d848,0,REFUND,22/A/01/00044/12/23,52411634-c3e6-42b6-8769-e453a0f70850,Import,"29/12/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,9cdddf00-299d-4d03-b866-cfa514472a9f,0,REFUND,22/A/01/00043/12/23,52411634-c3e6-42b6-8769-e453a0f70850,Import,"29/12/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,c491aa05-e248-4d0d-81b7-483bb6cafd59,0,ADDITION,22/A/01/00028/09/23,52411634-c3e6-42b6-8769-e453a0f70850,Import,"04/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,081b6987-1662-45f0-a78e-935df686d9d2,0,REFUND,22/A/01/00034/10/23,52411634-c3e6-42b6-8769-e453a0f70850,Import,"13/10/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,a7aad8cc-32f0-4a07-8493-a82aee7ddf37,0,REFUND,22/A/01/00037/10/23,52411634-c3e6-42b6-8769-e453a0f70850,Import,"28/10/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,7d53935a-cfb5-447b-aadf-3b2edcc6bc2d,0,REFUND,22/A/01/00038/10/23,52411634-c3e6-42b6-8769-e453a0f70850,Import,"30/10/2023 12:00:00 am"
